 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 303-482-388
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 303-482-388
127.0.0.1 - - [14/Aug/2017 10:29:31] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:29:31] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:29:31] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:29:31] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:29:31] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:29:31] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:29:31] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:29:31] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:29:31] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:29:31] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:29:31] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:29:32] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:29:32] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:29:32] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:29:32] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:35:07] "GET /rs-status HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:35:21] "POST /kdabqgeuwoci HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:35:21] "GET /kdabqgeuwoci HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:35:21] "DELETE /kdabqgeuwoci HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:37:17] "GET /ganglia/index.php HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:37:24] "POST /showcase/integration/saveGangster.action HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:37:24] "POST /struts2-showcase/integration/saveGangster.action HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:37:24] "POST /integration/saveGangster.action HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:46:35] "GET /index.php HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:46:58] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 10:46:58] "GET /wp-json/wp/v2/posts HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 11:00:24] "GET /s?ie=utf-8&f=8&rsv_bp=0&rsv_idx=1&tn=baidu&wd=39.108.164.40&rsv_pq=bf5332e1000 HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 11:02:04] "GET /jobs/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 11:03:40] "GET / HTTP/1.0" 404 -
